id,house_value,house_age,household_size,vacant_units,population,income,age_population,postgrads,no_hs,diversity_index,unemployment,employed_technology,dist_landfills,dist_airports,dist_libraries,dist_supermarkets,dist_malls,dist_police,dist_hospitals,dist_universities,dist_schools,dist_parks,dist_coast,latitude,longitude
60014278004,1551913,1956,2.7,26,1929,200001,38.8,5.75,0,76.2,7.84,5.67,7.43,9.49,0.17,3.39,2.62,3.56,2.69,1.15,0.31,0.31,0.77,37.77,-122.27
60014278005,688235,1972,2.81,46,2290,138076,42.9,15.59,1.22,74.5,2.63,6,6.8,9,0.54,2.85,2.06,2.93,2.11,1.67,0.41,0.45,1,37.77,-122.27
60014279001,912064,1955,2.42,11,1058,131692,41.6,16.45,7.18,73.9,2.35,7.21,5.12,7.7,1.33,1.68,1.11,1.25,0.9,3.28,0.35,0.59,1.41,37.77,-122.25
60014279002,610902,1979,3.83,30,2424,55402,44.1,14.89,0,68.8,1.21,2.44,5.65,7.79,1.72,1.63,1.34,1.81,0.85,2.94,0.26,0.15,1.03,37.77,-122.26
60014279004,1775510,1992,2.96,4,2467,200001,43.6,16.25,0,73.5,17.19,2.73,6.06,8.55,1.3,2.41,1.34,2.2,1.61,2.31,0.56,0.32,1.47,37.77,-122.26
60014279005,438710,1984,3.69,37,1426,24826,40.1,4.98,0.42,77.8,12.17,0,5.54,8.18,1.77,2.1,1,1.69,1.29,2.81,0.61,0.49,1.57,37.77,-122.26
60014280001,1341787,1940,2.66,36,1393,200001,36,6.32,0,84.2,4.26,8.31,4,6.76,0.32,1.36,1.21,0.29,1.11,2.97,0.15,0.39,1.35,37.77,-122.24
60670018002,1824219,1939,3.05,41,1275,158092,37.4,9.73,0.31,77.2,7.04,2.36,5.38,23.97,1.91,2.57,3.54,4.34,1.25,3.51,0.16,0.03,88.35,38.56,-121.47
60670018005,1885417,1950,2.11,41,1145,116226,35.8,18.69,0.52,83.9,4.73,13.23,6.72,25.27,3.07,2.02,2.7,3.74,0.42,3.91,0.81,0.34,88.55,38.55,-121.46
60670024002,1293651,1944,2.08,38,982,108859,48.4,32.08,0,58.5,10.37,6.53,4.88,23.53,2.5,5.79,4.02,3.84,4.22,1.11,0.42,0,85.89,38.55,-121.49
60670024003,1160633,1970,1.96,63,1974,120170,44.5,13.27,0,65.5,2.07,0,5.74,24.47,2.92,5.44,3.05,2.98,3.92,0.44,0.79,0.13,85.95,38.54,-121.49
60670027001,1266360,1984,2.82,20,2150,200001,36.5,5.44,0,81.5,6.73,10.66,5.75,24.57,2.29,3.76,3.17,3.08,2.24,2.1,0.68,0.32,87.24,38.55,-121.47
60670027004,618622,1958,3.01,47,2592,76443,35.5,6.52,0.89,87.5,9.29,4.1,6.77,25.57,2.98,3.52,2.49,2.4,1.92,2.61,0.51,0.34,87.38,38.54,-121.47
60670029001,549107,1963,3.53,22,1247,61824,42.4,15,1.36,78,4.99,3.7,6.44,26.87,1.62,2.46,1.47,3.51,1.6,3.55,0.87,0.94,88.75,38.54,-121.45
60670029002,511598,1969,3.17,9,981,96308,42.3,15.7,0,67.9,7.41,0,5.72,27.35,1.63,2.5,0.81,3.74,2.12,3.03,0.72,0.37,89.21,38.54,-121.44
60670032041,984589,1985,1.9,309,645,68951,35,3.41,30.23,86.9,8.66,0.99,3.4,31.09,2.94,6.15,2.28,3.59,4.3,2,0.87,0.64,88.98,38.52,-121.42
60670034002,452857,1969,3.11,18,1049,61924,52.1,22.88,1.05,80.7,9.56,4.19,9.09,26.82,0.88,9.45,4.15,1.33,7.85,3.9,0.71,0.33,82.74,38.52,-121.51
60670040053,739130,1982,3.35,28,2333,65622,45,5.53,3.94,82.1,5.27,2.86,10.96,27.26,2.13,12.56,6,4.53,10.97,6.8,0.72,0.59,80.31,38.51,-121.54
